hist_avg_units,hist_trend,num_people,days_home,month_sin,month_cos,baseload_kwh,ac_1ton_kwh,ac_1_5ton_kwh,geyser_kwh,wm_kwh,microwave_kwh,cooler_kwh,iron_kwh,has_ac_1ton,has_ac_1_5ton,has_geyser,has_wm,has_microwave,has_cooler,has_iron,actual_units,total_hca_kwh,has_any_ac,high_occupancy,partial_month
211.69,43.76,5,22,-0.5,-0.866025,221.1,0.0,0.0,0.0,6.93,35.76,0.0,1.62,0,0,0,1,1,0,1,210.62,44.309999999999995,0,1,1
269.16,-20.71,4,18,0.866025,-0.5,208.32,113.54,0.0,0.0,3.46,0.0,0.0,0.0,1,0,0,1,0,0,0,244.5,117.0,1,0,1
201.01,-20.02,5,30,0.866025,0.5,236.1,0.0,0.0,0.0,0.0,0.0,0.0,6.17,0,0,0,0,0,0,1,206.5,6.17,0,1,0
198.17,2.82,4,30,0.5,0.866025,221.7,0.0,0.0,0.0,0.0,0.0,0.0,5.85,0,0,0,0,0,0,1,177.93,5.85,0,0,0
182.02,22.29,4,25,-0.5,0.866025,143.46,0.0,0.0,42.79,3.12,0.0,0.0,9.53,0,0,1,1,0,0,1,189.76,55.44,0,0,0
158.49,-31.52,3,28,0.5,0.866025,155.22,0.0,0.0,35.58,0.0,0.0,0.0,3.46,0,0,1,0,0,0,1,163.78,39.04,0,0,0
501.82,44.0,4,18,0.866025,0.5,176.1,0.0,331.97,63.39,0.0,0.0,0.0,2.17,0,1,1,0,0,0,1,222.9,397.53000000000003,1,0,1
396.23,54.79,2,29,-0.5,-0.866025,201.84,0.0,219.43,36.65,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,391.63,256.08,1,0,0
303.23,53.46,5,30,-0.866025,-0.5,224.34,130.66,0.0,0.0,0.0,0.0,0.0,1.84,1,0,0,0,0,0,1,278.1,132.5,1,1,0
244.71,16.95,3,23,-0.5,0.866025,292.2,0.0,0.0,0.0,0.0,0.0,0.0,2.06,0,0,0,0,0,0,1,272.38,2.06,0,0,1
119.56,29.51,4,28,0.5,0.866025,137.22,0.0,0.0,0.0,0.0,13.12,0.0,4.11,0,0,0,0,1,0,1,121.67,17.23,0,0,0
219.47,-9.57,5,30,0.866025,0.5,218.46,0.0,0.0,45.04,0.0,0.0,0.0,4.33,0,0,1,0,0,0,1,246.56,49.37,0,1,0
213.02,-66.6,6,26,-0.0,1.0,225.96,0.0,0.0,26.2,0.0,0.0,0.0,1.95,0,0,1,0,0,0,1,182.45,28.15,0,1,0
203.44,53.25,4,27,0.5,-0.866025,211.98,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0,0,0,0,0,0,1,279.16,6.5,0,0,0
206.02,-9.78,1,25,0.866025,-0.5,218.46,0.0,0.0,13.18,6.93,0.0,0.0,8.12,0,0,1,1,0,0,1,252.95,28.229999999999997,0,0,0
416.0,-32.54,3,26,0.866025,0.5,234.48,0.0,242.45,0.0,0.0,14.18,0.0,7.79,0,1,0,0,1,0,1,293.37,264.42,1,0,0
443.83,1.76,3,30,-1.0,-0.0,105.6,0.0,395.25,18.31,0.0,0.0,0.0,9.53,0,1,1,0,0,0,1,391.87,423.09,1,0,0
277.0,32.84,6,29,0.866025,0.5,239.34,0.0,0.0,49.46,0.0,0.0,5.68,6.5,0,0,1,0,0,1,1,241.86,61.64,0,1,0
197.39,-6.26,3,25,1.0,0.0,220.08,0.0,0.0,0.0,0.0,0.0,0.0,10.82,0,0,0,0,0,0,1,304.86,10.82,0,0,0
201.67,22.02,4,30,0.866025,-0.5,216.84,0.0,0.0,6.32,9.7,0.0,0.0,6.5,0,0,1,1,0,0,1,331.99,22.52,0,0,0
416.42,-4.38,3,20,-0.0,1.0,266.46,193.8,0.0,0.0,0.0,0.0,0.0,15.16,1,0,0,0,0,0,1,221.5,208.96,1,0,1
252.11,25.54,1,19,0.5,0.866025,244.2,0.0,0.0,35.36,0.0,0.0,0.0,10.39,0,0,1,0,0,0,1,177.77,45.75,0,0,1
180.09,35.44,4,30,-0.0,1.0,190.08,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0,0,0,0,0,0,1,168.24,6.5,0,0,0
196.14,-21.03,4,30,1.0,0.0,213.6,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0,0,0,0,0,0,1,304.39,6.5,0,0,0
78.33,6.74,4,21,-0.5,0.866025,69.72,0.0,0.0,0.0,0.0,0.0,0.0,2.27,0,0,0,0,0,0,1,47.57,2.27,0,0,1
208.97,46.67,4,28,-0.866025,-0.5,211.98,0.0,0.0,28.35,0.0,0.0,0.0,5.85,0,0,1,0,0,0,1,232.88,34.2,0,0,0
198.8,12.82,4,28,0.866025,-0.5,222.72,0.0,0.0,0.0,0.0,18.3,0.0,3.9,0,0,0,0,1,0,1,332.86,22.2,0,0,0
435.57,7.7,3,30,0.0,-1.0,222.72,0.0,295.78,0.0,4.68,0.0,0.0,3.9,0,1,0,1,0,0,1,349.41,304.35999999999996,1,0,0
193.42,4.65,4,27,0.866025,0.5,213.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,177.13,0.0,0,0,0
244.63,-52.64,2,30,1.0,0.0,205.08,0.0,0.0,0.0,8.31,0.0,79.0,6.17,0,0,0,1,0,1,1,379.36,93.48,0,0,0
189.64,-37.15,6,28,0.5,-0.866025,179.34,0.0,0.0,26.82,4.68,0.0,0.0,0.0,0,0,1,1,0,0,0,274.63,31.5,0,1,0
254.23,18.24,4,28,0.866025,-0.5,201.84,0.0,0.0,0.0,0.0,45.89,43.64,8.23,0,0,0,0,1,1,1,393.29,97.76,0,0,0
149.04,-13.76,6,28,0.866025,0.5,158.46,0.0,0.0,0.0,5.2,0.0,0.0,6.5,0,0,0,1,0,0,1,138.54,11.7,0,1,0
169.42,19.66,3,30,1.0,0.0,164.34,0.0,0.0,15.73,0.0,0.0,0.0,9.74,0,0,1,0,0,0,1,214.14,25.47,0,0,0
201.27,-6.55,5,30,-0.0,1.0,200.22,0.0,0.0,0.0,0.0,40.93,0.0,10.82,0,0,0,0,1,0,1,235.34,51.75,0,1,0
189.72,-15.12,1,22,0.5,-0.866025,220.08,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0,0,0,0,0,0,1,245.51,6.5,0,0,1
173.42,12.42,5,25,-0.5,-0.866025,158.46,0.0,0.0,42.12,0.0,0.0,0.0,5.52,0,0,1,0,0,0,1,154.08,47.64,0,1,0
212.76,9.11,3,23,0.5,-0.866025,224.34,0.0,0.0,0.0,6.93,9.52,0.0,0.0,0,0,0,1,1,0,0,296.44,16.45,0,0,1
188.7,35.9,4,30,-0.5,-0.866025,207.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,178.89,0.0,0,0,0
501.57,-24.2,2,15,1.0,0.0,137.22,0.0,383.75,0.0,0.0,40.19,0.0,9.09,0,1,0,0,1,0,1,276.99,433.03,1,0,1
311.27,20.67,4,30,-0.866025,0.5,161.7,166.87,0.0,24.25,5.54,0.0,0.0,0.0,1,0,1,1,0,0,0,249.41,196.66,1,0,0
225.32,16.18,3,28,0.0,-1.0,219.48,0.0,0.0,28.17,11.08,27.19,0.0,12.99,0,0,1,1,1,0,1,231.04,79.42999999999999,0,0,0
99.15,-54.74,3,23,0.866025,0.5,78.84,0.0,0.0,0.0,4.16,0.0,11.22,12.88,0,0,0,1,0,1,1,60.7,28.26,0,0,1
180.13,41.29,6,30,0.5,0.866025,224.34,0.0,0.0,0.0,0.0,0.0,11.12,2.38,0,0,0,0,0,1,1,204.15,13.5,0,1,0
104.42,50.87,5,29,-0.866025,0.5,93.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,94.03,0.0,0,1,0
246.88,42.18,4,30,0.866025,0.5,237.72,0.0,0.0,0.0,0.0,29.93,0.0,9.74,0,0,0,0,1,0,1,213.45,39.67,0,0,0
