hist_avg_units,hist_trend,entitlement_limit,num_people,days_home,month_sin,month_cos,baseload_kwh,ac_1ton_kwh,ac_1_5ton_kwh,geyser_kwh,wm_kwh,microwave_kwh,cooler_kwh,iron_kwh,has_ac_1ton,has_ac_1_5ton,has_geyser,has_wm,has_microwave,has_cooler,has_iron,month,theoretical_units,actual_units
211.69,43.76,200.0,5,22,-0.5,-0.866025,221.1,0.0,0.0,0.0,6.93,35.76,0.0,1.62,0,0,0,1,1,0,1,7,265.41,210.62
269.16,-20.71,200.0,4,18,0.866025,-0.5,208.32,113.54,0.0,0.0,3.46,0.0,0.0,0.0,1,0,0,1,0,0,0,4,325.32,244.5
201.01,-20.02,200.0,5,30,0.866025,0.5,236.1,0.0,0.0,0.0,0.0,0.0,0.0,6.17,0,0,0,0,0,0,1,2,242.27,206.5
198.17,2.82,200.0,4,30,0.5,0.866025,221.7,0.0,0.0,0.0,0.0,0.0,0.0,5.85,0,0,0,0,0,0,1,1,227.55,177.93
182.02,22.29,200.0,4,25,-0.5,0.866025,143.46,0.0,0.0,42.79,3.12,0.0,0.0,9.53,0,0,1,1,0,0,1,11,198.9,189.76
158.49,-31.52,174.34,3,28,0.5,0.866025,155.22,0.0,0.0,35.58,0.0,0.0,0.0,3.46,0,0,1,0,0,0,1,1,194.26,163.78
501.82,44.0,200.0,4,18,0.866025,0.5,176.1,0.0,331.97,63.39,0.0,0.0,0.0,2.17,0,1,1,0,0,0,1,2,573.62,222.9
396.23,54.79,200.0,2,29,-0.5,-0.866025,201.84,0.0,219.43,36.65,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,7,457.92,391.63
303.23,53.46,200.0,5,30,-0.866025,-0.5,224.34,130.66,0.0,0.0,0.0,0.0,0.0,1.84,1,0,0,0,0,0,1,8,356.84,278.1
244.71,16.95,200.0,3,23,-0.5,0.866025,292.2,0.0,0.0,0.0,0.0,0.0,0.0,2.06,0,0,0,0,0,0,1,11,294.26,272.38
119.56,29.51,131.52,4,28,0.5,0.866025,137.22,0.0,0.0,0.0,0.0,13.12,0.0,4.11,0,0,0,0,1,0,1,1,154.45,121.67
219.47,-9.57,200.0,5,30,0.866025,0.5,218.46,0.0,0.0,45.04,0.0,0.0,0.0,4.33,0,0,1,0,0,0,1,2,267.83,246.56
213.02,-66.6,200.0,6,26,-0.0,1.0,225.96,0.0,0.0,26.2,0.0,0.0,0.0,1.95,0,0,1,0,0,0,1,12,254.1,182.45
203.44,53.25,200.0,4,27,0.5,-0.866025,211.98,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0,0,0,0,0,0,1,5,218.47,279.16
206.02,-9.78,200.0,1,25,0.866025,-0.5,218.46,0.0,0.0,13.18,6.93,0.0,0.0,8.12,0,0,1,1,0,0,1,4,246.69,252.95
416.0,-32.54,200.0,3,26,0.866025,0.5,234.48,0.0,242.45,0.0,0.0,14.18,0.0,7.79,0,1,0,0,1,0,1,2,498.9,293.37
443.83,1.76,200.0,3,30,-1.0,-0.0,105.6,0.0,395.25,18.31,0.0,0.0,0.0,9.53,0,1,1,0,0,0,1,9,528.69,391.87
277.0,32.84,200.0,6,29,0.866025,0.5,239.34,0.0,0.0,49.46,0.0,0.0,5.68,6.5,0,0,1,0,0,1,1,2,300.98,241.86
197.39,-6.26,200.0,3,25,1.0,0.0,220.08,0.0,0.0,0.0,0.0,0.0,0.0,10.82,0,0,0,0,0,0,1,3,230.9,304.86
201.67,22.02,200.0,4,30,0.866025,-0.5,216.84,0.0,0.0,6.32,9.7,0.0,0.0,6.5,0,0,1,1,0,0,1,4,239.36,331.99
416.42,-4.38,200.0,3,20,-0.0,1.0,266.46,193.8,0.0,0.0,0.0,0.0,0.0,15.16,1,0,0,0,0,0,1,12,475.41,221.5
252.11,25.54,200.0,1,19,0.5,0.866025,244.2,0.0,0.0,35.36,0.0,0.0,0.0,10.39,0,0,1,0,0,0,1,1,289.95,177.77
180.09,35.44,198.1,4,30,-0.0,1.0,190.08,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0,0,0,0,0,0,1,12,196.57,168.24
196.14,-21.03,200.0,4,30,1.0,0.0,213.6,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0,0,0,0,0,0,1,3,220.09,304.39
78.33,6.74,86.16,4,21,-0.5,0.866025,69.72,0.0,0.0,0.0,0.0,0.0,0.0,2.27,0,0,0,0,0,0,1,11,71.99,47.57
208.97,46.67,200.0,4,28,-0.866025,-0.5,211.98,0.0,0.0,28.35,0.0,0.0,0.0,5.85,0,0,1,0,0,0,1,8,246.17,232.88
198.8,12.82,200.0,4,28,0.866025,-0.5,222.72,0.0,0.0,0.0,0.0,18.3,0.0,3.9,0,0,0,0,1,0,1,4,244.92,332.86
435.57,7.7,200.0,3,30,0.0,-1.0,222.72,0.0,295.78,0.0,4.68,0.0,0.0,3.9,0,1,0,1,0,0,1,6,527.07,349.41
193.42,4.65,200.0,4,27,0.866025,0.5,213.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,213.6,177.13
244.63,-52.64,200.0,2,30,1.0,0.0,205.08,0.0,0.0,0.0,8.31,0.0,79.0,6.17,0,0,0,1,0,1,1,3,298.56,379.36
189.64,-37.15,200.0,6,28,0.5,-0.866025,179.34,0.0,0.0,26.82,4.68,0.0,0.0,0.0,0,0,1,1,0,0,0,5,210.83,274.63
254.23,18.24,200.0,4,28,0.866025,-0.5,201.84,0.0,0.0,0.0,0.0,45.89,43.64,8.23,0,0,0,0,1,1,1,4,299.6,393.29
482.27,-4.37,200.0,6,29,0.5,-0.866025,179.34,0.0,336.4,0.0,4.85,34.11,0.0,2.17,0,1,0,1,1,0,1,5,556.86,640.64
149.04,-13.76,163.94,6,28,0.866025,0.5,158.46,0.0,0.0,0.0,5.2,0.0,0.0,6.5,0,0,0,1,0,0,1,2,170.15,138.54
169.42,19.66,186.36,3,30,1.0,0.0,164.34,0.0,0.0,15.73,0.0,0.0,0.0,9.74,0,0,1,0,0,0,1,3,189.81,214.14
201.27,-6.55,200.0,5,30,-0.0,1.0,200.22,0.0,0.0,0.0,0.0,40.93,0.0,10.82,0,0,0,0,1,0,1,12,251.98,235.34
189.72,-15.12,200.0,1,22,0.5,-0.866025,220.08,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0,0,0,0,0,0,1,5,226.57,245.51
173.42,12.42,190.76,5,25,-0.5,-0.866025,158.46,0.0,0.0,42.12,0.0,0.0,0.0,5.52,0,0,1,0,0,0,1,7,206.1,154.08
212.76,9.11,200.0,3,23,0.5,-0.866025,224.34,0.0,0.0,0.0,6.93,9.52,0.0,0.0,0,0,0,1,1,0,0,5,240.79,296.44
188.7,35.9,200.0,4,30,-0.5,-0.866025,207.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,7,207.72,178.89
501.57,-24.2,200.0,2,15,1.0,0.0,137.22,0.0,383.75,0.0,0.0,40.19,0.0,9.09,0,1,0,0,1,0,1,3,570.26,276.99
